To,From,Date,Subject,Message-ID
1000mercis@cp.assurance.returnpath.net,Darty <infos@contact-darty.com>,"Fri, 01 Apr 2011 16:17:41 +0200","Cuit Vapeur 29.90 euros, Nintendo 3DS 239 euros, GPS TOM TOM 139 euros... decouvrez VITE tous les bons plans du weekend !",<20110401161739.E3786358A9D7B977@contact-darty.com>
aamarketinginc@cp.monitor1.returnpath.net,MindsPay <survey@mindspaymails.com>,"Thu, 31 Mar 2011 23:19:52 -0500",Paid Mail : Offer #10491 get $4.00,<MP1301631592801EH10491@mindspay.com>
aeg@cp.delivery.ncrcustomerpower.com,LA Galaxy <enews@events.lagalaxy.com>,"Fri, 01 Apr 2011 12:06:22 -0600","April Fool's Day Offer, Save up to 40% with no fees",<3709e1a3-663f-464c-a38f-584ae8c9fe24@xtinmta105.xt.local>
alchemyworx@cp.assurance.returnpath.net,Aviva <aviva@avivaemail.co.uk>,"Fri, 01 Apr 2011 14:14:49 -0000","(TEST-Multipart) [Retention In Life ezine_home_050411] Introducing Your Aviva Essentials: Win 4 tickets to the Aviva Premiership Rugby Final, Keep the cost of driving down and more",<bx6rw3raupta74au6m0rxbysph09qe.0.15@mta141.avivaemail.co.uk>
americancollegiatemarketing@cp.monitor1.returnpath.net,Amway@MagazineLine.com,"Fri, 01 Apr 2011 10:38:16 -0400",April 2011 TPM Amway No Subs Spring Savings from MagazineLine,<EF9C090C1310457C97AD9E1279F0BF68@acm.local>
beliefnet@cp.monitor1.returnpath.net,Announce - Beliefnet Sponsor <specialoffers@mail.beliefnet.com>,"Fri, 01 Apr 2011 08:12:00 -0600",[SP] Grant Funding May Be Available for Top Online Colleges. Get Free Info Today.,<527817310.344.1301667087687.JavaMail.root@mail.beliefnet.com>
beliefnet@cp.monitor1.returnpath.net,Chicken Soup - Beliefnet Partner <specialoffers@mail.beliefnet.com>,"Fri, 01 Apr 2011 10:32:42 -0600",[SP] The Art of Positive Thinking,<463918295.411.1301674909118.JavaMail.root@mail.beliefnet.com>
Lisa Marshall <boydgamingcorporation@cp.assurance.returnpath.net>,Suncoast Hotel & Casino - Las Vegas <suncoast@boydgaming.net>,"Fri, 01 Apr 2011 10:36:26 -0700",See What's Happening with our Table Games!,<20110401173626.15575.2089030531.swift@webadmin.boydgaming.net>
citibanksingaporelimited@cp.monitor1.returnpath.net,customer.service@citicorp.com,"Fri, 01 Apr 2011 02:57:21 +0000",Citi Alerts,<1479419471.1301626641534.JavaMail.pjfpbg1@saixp36>
cobaltgroup@cp.monitor1.returnpath.net,Hometown Motors <klongfield.10162425@dealer.onstation.com>,"Fri, 01 Apr 2011 16:25:17 +0000",[SAMPLE] 04-719314-2011 Chevy April DAP #1,<6426946.1413.1301675117949.JavaMail.tomcat@osadmin02>
compostmarketingab@cp.monitor1.returnpath.net,{CARMA TEST} Test <from@test.carmamail.com>,"Fri, 01 Apr 2011 13:02:13 +0200",ComHem Senaste Nyheterna,<58795828.1301655732499.JavaMail.compostadmin@secos-a107>
corel@cp.monitor1.returnpath.net,Corel <news@email1-corel.com>,"Fri, 01 Apr 2011 05:52:55 -0700",PREVIEW:   Save $170 and get special gift with CorelDraw Premium Suite X5,<Corel.6k3yh-636g-.fv4t@email1-corel.com>
